prot	Abl	Bbl	Cbl	Dbl	Ebl	Fbl	Gbl	Hbl	Ibl	Jbl	Kbl	Mbl	Obl	Pbl	Qbl	Rbl	Sbl	Tbl	Ubl	Vbl	Wbl	Xbl
prot_000000000078	7.48269E-05	0.000635947	0.000356541	0.000633978	0.000487953	0.000551542	0.000283918	0	5.93562E-05	0.000134447	0.001992361	0.00054628	0.000693998	0.000641647	0.001174676	0.00225229	0.000599782	0.000370928	0.000638345	0	0.000604118	0.000737684
prot_000000000079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000191415	0	0	0	0
prot_000000000080	0	0.000689782	0.000476981	0.000766833	0.000548412	0.000645216	0	0	0.000264689	0.001558817	0.000749756	0.000862134	0.00065086	0.000801169	0.000523827	0	0.000883816	0.001157864	0.000692817	0	0.000651216	0.000421066
prot_000000000081	0.000479032	0.000308563	0.000305969	0.000258103	0.000448472	0.000326686	0.000649725	0.000509122	0.00080124	0.00040382	0.000360709	0.000296135	0.000342189	0.000291837	0	0	0.000257354	0.000358104	0.00029497	0	0.000226939	0.000472677
prot_000000000082	0.000388912	0.00048273	0.001853119	0.000656216	0.000676741	0.000557868	0	0	0.000205669	0.000465858	0	0.000473313	0.000533836	0.001253942	0	0	0.000290953	0.001285261	0.000340286	0	0.000967218	0.000408971
prot_000000000083	0.000383677	0.000338335	0	0.000439766	0.000445427	0.000548932	0	0	0.00030435	0.000689381	0	0.000430637	0.000409437	0.000307072	0	0	0.000586375	0.000380388	0.000302135	0	0.000241061	0.000274357
prot_000000000084	0	0.000557045	0.000377676	0.00055683	0.000476167	0	0	0	0	0	0.000890489	0.000584328	0.000613586	0.000498433	0.001244305	0	0.000211072	9.82287E-05	0.000661619	0	0.000247754	0.000244634
prot_000000000085	0.001701235	0.000479858	0.001119104	0.000646513	0.000452971	0.000408081	0	0	0.000450583	0	0	0.000273182	0.000591682	0.000270152	0	0.001422421	0.000420877	0.000457973	0.000893118	0	0.000482476	0.000298163
prot_000000000086	0.000771693	0.000732361	0.00042723	0.000651684	0.000547988	0.000490661	0	0	0.00061641	0.000214804	0.001343105	0.000542511	0.000805485	0.000717604	0	0	0.000532367	0.001111171	0.000706066	0	0.000516395	0.000314289
prot_000000000087	0.000190738	0.000214797	0	0.000124882	0.000127539	0.000244996	0	0	0	0	0	0.000174099	0.000129043	0	0	0	0	0	0.000402324	0	0	0.000673361
prot_000000000088	0.000384085	0.000679736	0.000261446	0.00065225	0.000745283	0.000821958	0	0	0.000391724	0.000492939	0.00030822	0.000763093	0.000552701	0.000846915	0	0.001651565	0.000879619	0.000747986	0.000936175	0	0.000452469	0.000716048
prot_000000000089	0.000564125	0.000281139	0	0	0.000338876	0.000578284	0	0	0.000223745	0	0	8.58187E-05	0.000418127	0.000322494	0	0	0	0	0	0	0	0.00029661
prot_000000000090	9.42282E-05	0.000552065	0	0.000668209	0.000494311	0.000552156	0.000446119	0	0.000135303	0.000362154	0.00113222	0.000565491	0.000681892	0.000712665	0.000791041	0.001410549	0.000350047	0.000739371	0.000923558	0	0.000927416	0.000264942
prot_000000000091	0.000576128	0.000395273	0	0.000287954	0.000168774	0	0	0	0.000481766	0.00030365	0.000539385	0.000277541	0.000359895	0.000164678	0	0	0	0.000356993	0	0	0.000339352	0
prot_000000000092	0	0.000471285	0.004749888	0.000951154	0.00226713	0.000804368	0	0.002315363	0.000418185	0	0.007609819	0.000351902	0.00118936	0.00036165	0.009931208	0	0.000443909	0.001623424	0.001241231	0	0.00024089	0.001898306
prot_000000000093	0.000194631	0.000660255	0.000463696	0.000784972	0.000579379	0.000469966	0	0	0	0.000349708	0	0.000675076	0.000468185	0.00066759	0	0	0.000346684	0.000241203	0.000499393	0	0.000458567	0.000405245
prot_000000000094	7.60084E-05	0.00011171	0	0.000299793	0.000306675	4.38552E-05	0	0.001024487	0.000120587	0	0	0.000219696	0	0	0	0	0.000135389	0	0	0	0.000149236	0
prot_000000000095	0.000538063	0.000703518	0.001025521	0.000426949	0.000384753	0.000319971	0	0	0.000512179	0.000773422	0.000604497	0.000834746	0.000549435	0.000430633	0	0	0.000287526	0.000533451	0.000635564	0	0.000718377	0.00056638
prot_000000000096	0.000731838	0.000190998	0.000581186	6.30769E-05	2.57461E-05	0.000513978	0	0.003442783	0	0	0	0.001311124	0.0001357	0.00051878	0	0	0.000797356	0	0	0	0.000191586	0
prot_000000000097	0.000675894	0.000704837	0.000268379	0	0.000336231	0.000492887	0	0	0	0	0.001265578	0.00026905	0.000776011	0.000962754	0.001768428	0.001695366	0.000100328	0.000139604	0	0	4.42352E-05	0.000756361
prot_000000000098	0.00088193	0.000625847	0.000388712	0.000527267	0.000460494	0.000535357	0	0	0.000543055	0.000297118	0.001857791	0.000475281	0.000695615	0.000378131	0	0	0.000343641	0.000614792	0.000506403	0	0.000757137	0.000289818
prot_000000000099	0.001181691	0.000452945	0.000644657	0.000803835	0.000379047	0.000744222	0	0	0.000367958	0.000416729	0.001302841	0.000557649	0.000728888	0.00035357	0.000910248	0.000581761	0.000516407	0.000479049	0.000634166	0	0.000425018	0.000464414
prot_000000000100	0	0.000251717	0	0	3.986E-05	5.49187E-05	0	0	0.000260358	0	0	0	9.86912E-05	0	0	0	0	0	0	0	0	0
prot_000000000101	0	0.000916651	0.000871044	0.000543704	0.000615799	0.000695605	0.000231207	0	0	0.00032846	0.002053761	0.000546459	0.000756074	0.001358559	0.001434889	0	0.00110548	0.000679643	0.000523033	0	0.000260577	0.000384467
prot_000000000102	0	0.000728018	0.000186383	0	0.000152351	6.77071E-05	0	0	0.000186171	0.000140565	0.000439456	0.000452245	1.17617E-05	0.000581398	0	0	0.0002787	0.000484758	0.000806004	0	3.07202E-05	0.0002468
prot_000000000103	0	0	0	0.000285512	0.000104697	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000273901	0	0.000327801	0
prot_000000000104	0.000563391	0.000669692	0.000894831	0.000422382	0.000689921	0.000668189	5.93803E-05	0.000260569	0.000912438	0.001012288	0.000791192	0.000484888	0.000430571	0.00067099	0.001105555	0	0.000501768	0.000465469	0.000462141	0	0.000719009	0.000493708
prot_000000000105	0.000424753	0.000546513	0	0.000431177	0.00040361	0.000176044	0	0	0.000463284	0.000641076	0	0.00058284	0.000464255	0.000794019	0	0	0	0.00052639	0.000554681	0	0.000155117	0
prot_000000000106	0.000318791	5.13174E-05	0	0.000145553	0	3.69348E-05	0	0.00084049	0	0	0	5.84298E-05	0	0	0	0	0	0	0	0	0	0
prot_000000000107	0.001046998	0.000848706	0.000498882	0.000830261	0.000589777	0.00069085	0	0	0.000415264	0.000438952	0.000784181	0.000752158	0.000675655	0.001123259	0.001095758	0	0.00092906	0.000897026	0.001041138	0	0.000695644	0.000548114
prot_000000000108	0.000713345	0.000648884	0.001040511	0.000662531	0.000275616	0.000416345	0	0	0.000288703	0.000261576	0.001635555	0.000706482	0.000659569	0.000692427	0	0.004381975	0.000627541	0.001082496	0.000938621	0	0.000704295	0.000597048
prot_000000000109	0.00070444	0.000746674	0	0.000484282	0.00020845	0.0005149	0	0	0.000450114	0	0.000660615	0.000425974	0.000198733	0.001113331	0	0	0.000313171	0.000695195	0.000463044	0	0.000507984	0.000852692
prot_000000000110	0.001165136	0.000732275	0.001007208	0.000598854	0.000580377	0.000605992	0	0	0.000402427	0.000303844	0.000474962	0.000598118	0.001023696	0.001151373	0.000663678	0	0.000301218	0.001152634	0.000943258	0	0.000357257	0.000489025
